                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.1726,                  2.699,                0.81939,                 1.1102,                0.63552,                0.42551,                  0.469,                0.28244,                0.53828,                 0.3625,                0.36785,                0.18226,                 1.4141,                 3.1264,                 1.0241,                 1.1711,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.1746,                  2.694,                0.81995,                 1.1106,                0.60566,                0.42853,                0.46136,                0.28097,                0.55147,                0.35482,                0.36721,                0.18325,                 1.4101,                 3.1188,                 1.0145,                 1.1687,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.1705,                 2.6774,                 0.8155,                 1.1094,                0.61566,                0.43399,                0.46867,                0.28583,                0.54702,                0.36102,                  0.366,                  0.186,                 1.4026,                 3.1268,                 1.0106,                 1.1688,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.1672,                 2.6904,                0.81377,                 1.1052,                0.63221,                0.41482,                0.45777,                 0.2793,                0.55978,                0.34862,                0.36207,                0.18239,                 1.4089,                 3.1267,                 1.0241,                 1.1686,               0.008515,               0.008515,               0.008515
                     77,                 1.1656,                 2.6826,                0.81018,                 1.1065,                0.61955,                0.43766,                0.47105,                0.28393,                0.54848,                0.36148,                0.37237,                0.18795,                 1.4031,                 3.1495,                 1.0108,                 1.1715,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.1616,                 2.6709,                0.81161,                 1.1049,                 0.5838,                0.43388,                0.45702,                0.28013,                0.50877,                  0.366,                0.36601,                0.18064,                 1.4112,                 3.1452,                 1.0228,                 1.1662,              0.0084754,              0.0084754,              0.0084754
                     79,                  1.165,                 2.6821,                0.80831,                 1.1064,                0.59229,                0.42947,                0.46131,                0.27715,                0.53278,                0.35427,                0.36183,                0.17996,                 1.4106,                 3.1224,                 1.0237,                 1.1683,              0.0084556,              0.0084556,              0.0084556
                     80,                  1.166,                 2.6771,                0.81042,                 1.1038,                 0.6106,                0.42993,                0.46727,                0.28408,                 0.5778,                0.35253,                0.36712,                0.18379,                 1.4065,                  3.128,                 1.0126,                 1.1755,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.1638,                 2.6797,                0.80693,                 1.1043,                 0.6162,                0.41718,                0.46098,                0.27844,                0.56481,                0.34706,                0.36405,                0.18068,                 1.4148,                 3.1547,                 1.0212,                 1.1788,               0.008416,               0.008416,               0.008416
                     82,                 1.1641,                 2.6702,                0.80429,                 1.1041,                0.60024,                0.43622,                0.46157,                0.28146,                0.55263,                0.36085,                0.36703,                0.17877,                 1.4125,                 3.1461,                 1.0175,                 1.1744,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.1557,                 2.6614,                0.79927,                 1.0977,                0.63091,                 0.4252,                0.46646,                0.28506,                0.54936,                0.36071,                0.37203,                0.18352,                 1.4082,                  3.142,                 1.0118,                 1.1706,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.1519,                 2.6442,                 0.7946,                 1.0968,                0.62189,                0.43341,                0.46613,                0.28231,                0.54569,                0.35947,                0.36422,                0.18405,                 1.4084,                 3.1494,                 1.0133,                 1.1702,              0.0083566,              0.0083566,              0.0083566
                     85,                  1.151,                 2.6599,                0.79523,                 1.0967,                0.62199,                0.43712,                0.47233,                0.28587,                0.55772,                0.36039,                 0.3723,                0.18555,                 1.4121,                 3.1538,                 1.0244,                 1.1779,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.1511,                 2.6463,                0.79155,                 1.0957,                 0.5922,                0.43132,                0.46029,                0.27967,                0.55452,                0.34142,                0.35432,                0.17941,                 1.4106,                 3.1462,                 1.0108,                 1.1724,               0.008317,               0.008317,               0.008317
                     87,                 1.1481,                 2.6496,                0.79361,                 1.0967,                0.60619,                0.43443,                0.46746,                0.28176,                0.52356,                0.36757,                0.36696,                 0.1832,                 1.4098,                 3.1355,                 1.0108,                 1.1703,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.1514,                 2.6521,                0.79242,                 1.0954,                0.61335,                0.43248,                 0.4634,                0.27911,                0.52716,                0.36139,                 0.3617,                0.18075,                 1.4156,                  3.142,                 1.0205,                 1.1742,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.1519,                 2.6422,                0.79166,                  1.096,                0.59948,                0.43826,                0.46718,                0.28397,                0.50605,                0.36814,                0.36584,                0.18262,                 1.4121,                 3.1546,                 1.0153,                 1.1755,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.1482,                 2.6367,                0.78968,                 1.0956,                0.61854,                0.43252,                0.46318,                0.28028,                0.54351,                 0.3586,                0.36209,                0.18056,                 1.4135,                 3.1455,                 1.0264,                  1.178,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.1479,                 2.6333,                0.78747,                 1.0951,                0.61521,                0.43055,                0.46632,                0.28376,                0.53456,                0.35776,                0.36486,                0.18254,                 1.4114,                 3.1615,                 1.0142,                 1.1736,               0.008218,               0.008218,               0.008218
                     92,                 1.1431,                 2.6292,                0.78319,                 1.0928,                0.59591,                0.44179,                0.46666,                0.28305,                0.51116,                0.36549,                0.36366,                0.18156,                 1.4106,                 3.1535,                 1.0118,                 1.1779,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.1449,                 2.6296,                0.78602,                 1.0922,                0.62911,                0.42893,                0.46186,                0.27951,                0.54624,                0.35924,                0.36296,                0.18055,                 1.4116,                 3.1465,                 1.0111,                 1.1753,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.1445,                 2.6347,                0.78723,                 1.0922,                0.63122,                0.43432,                0.47304,                0.28782,                0.54154,                0.36253,                0.36946,                0.18546,                 1.4056,                  3.148,                 1.0067,                 1.1724,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.1411,                  2.617,                0.78336,                 1.0905,                0.63656,                 0.4346,                0.46796,                0.28321,                0.56514,                0.36023,                0.36983,                0.18275,                 1.4106,                 3.1372,                 1.0079,                 1.1777,              0.0081388,              0.0081388,              0.0081388
